indicator,region,year,gender,diabetes_rate,absolute value,id,title.fi,title.en
683,959,2017,total,11.9,10393,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,974,2017,total,12.3,17551,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,960,2017,total,8.2,25103,960,Helsingin kaupunki,City of Helsinki
683,977,2017,total,10.2,12653,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,956,2017,total,5.2,849,956,Ahvenanmaa,Åland
683,967,2017,total,11.6,11859,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,971,2017,total,8.9,8200,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,978,2017,total,10.1,26112,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,961,2017,total,9.9,5389,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,973,2017,total,11.1,22187,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,972,2017,total,12.7,12205,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,966,2017,total,10.4,10685,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,965,2017,total,11.4,16559,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,968,2017,total,11.6,11918,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,976,2017,total,10.9,14061,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,962,2017,total,12.1,5431,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,958,2017,total,12.9,14026,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,970,2017,total,11.2,29960,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,969,2017,total,8.9,20512,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,964,2017,total,10.4,3752,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,963,2017,total,11.3,11187,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,957,2017,total,10.6,8199,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,975,2017,total,9.9,11982,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,963,2018,total,11.6,11530,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,966,2018,total,10.8,11269,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,969,2018,total,9.1,21392,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,970,2018,total,11.4,30797,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,973,2018,total,11.3,22842,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,976,2018,total,11.2,14382,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,958,2018,total,13.0,14232,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,971,2018,total,9.2,8464,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,959,2018,total,12.3,10636,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,965,2018,total,11.6,16997,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,977,2018,total,10.5,13190,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,960,2018,total,8.3,25869,960,Helsingin kaupunki,City of Helsinki
683,957,2018,total,10.8,8325,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,972,2018,total,13.1,12582,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,975,2018,total,10.1,12273,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,961,2018,total,10.3,5658,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,978,2018,total,10.5,27308,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,964,2018,total,10.8,3879,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,967,2018,total,12.0,12248,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,962,2018,total,12.3,5495,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,974,2018,total,12.8,18189,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,956,2018,total,5.4,895,956,Ahvenanmaa,Åland
683,968,2018,total,11.8,12118,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,966,2019,total,11.0,11687,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,969,2019,total,9.3,22187,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,977,2019,total,10.6,13591,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,974,2019,total,13.3,19004,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,971,2019,total,9.5,8751,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,958,2019,total,13.2,14391,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,976,2019,total,11.3,14510,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,962,2019,total,12.6,5574,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,956,2019,total,5.8,969,956,Ahvenanmaa,Åland
683,968,2019,total,12.2,12419,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,970,2019,total,11.6,31651,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,975,2019,total,10.4,12721,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,963,2019,total,12.0,11993,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,957,2019,total,11.1,8514,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,972,2019,total,13.4,12776,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,961,2019,total,10.6,5900,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,964,2019,total,11.2,4034,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,967,2019,total,12.4,12608,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,973,2019,total,11.5,23487,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,965,2019,total,11.9,17391,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,960,2019,total,8.5,26706,960,Helsingin kaupunki,City of Helsinki
683,959,2019,total,12.8,10965,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,978,2019,total,10.8,28422,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,970,2020,total,11.8,32481,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,958,2020,total,13.3,14512,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,966,2020,total,11.1,11851,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,976,2020,total,11.5,14674,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,969,2020,total,9.3,22491,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,973,2020,total,11.7,24013,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,968,2020,total,12.4,12666,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,974,2020,total,13.7,19576,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,963,2020,total,12.3,12376,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,962,2020,total,12.7,5593,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,956,2020,total,6.1,1025,956,Ahvenanmaa,Åland
683,964,2020,total,11.4,4145,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,978,2020,total,11.1,29244,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,967,2020,total,12.6,12802,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,975,2020,total,10.8,13182,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,957,2020,total,11.1,8551,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,961,2020,total,10.6,5988,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,959,2020,total,13.1,11177,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,960,2020,total,8.5,26975,960,Helsingin kaupunki,City of Helsinki
683,971,2020,total,9.7,8995,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,972,2020,total,13.8,13139,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,965,2020,total,12.0,17636,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,977,2020,total,10.5,13737,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,962,2021,total,12.6,5543,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,976,2021,total,11.7,14981,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,965,2021,total,12.2,18092,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,968,2021,total,12.6,12930,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,973,2021,total,11.8,24499,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,970,2021,total,12.2,33802,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,975,2021,total,11.1,13638,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,966,2021,total,11.2,12164,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,961,2021,total,10.7,6112,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,967,2021,total,13.0,13160,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,974,2021,total,14.1,20101,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,959,2021,total,13.4,11377,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,956,2021,total,6.4,1089,956,Ahvenanmaa,Åland
683,960,2021,total,8.6,27306,960,Helsingin kaupunki,City of Helsinki
683,963,2021,total,12.6,12728,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,978,2021,total,11.2,29967,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,957,2021,total,11.3,8693,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,969,2021,total,9.4,23147,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,972,2021,total,14.0,13358,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,977,2021,total,10.6,14061,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,964,2021,total,11.9,4322,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,958,2021,total,13.5,14738,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,971,2021,total,9.9,9230,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,957,2022,total,11.5,8784,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,962,2022,total,12.7,5530,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,975,2022,total,11.5,14110,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,965,2022,total,12.4,18417,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,972,2022,total,14.3,13623,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,968,2022,total,12.8,13097,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,973,2022,total,12.0,25183,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,967,2022,total,13.2,13275,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,978,2022,total,11.3,30394,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,961,2022,total,10.8,6231,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,977,2022,total,10.7,14378,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,960,2022,total,8.6,27646,960,Helsingin kaupunki,City of Helsinki
683,974,2022,total,14.4,20604,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,963,2022,total,12.9,13036,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,966,2022,total,11.2,12368,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,971,2022,total,10.1,9443,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,956,2022,total,6.5,1127,956,Ahvenanmaa,Åland
683,959,2022,total,13.6,11522,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,958,2022,total,13.6,14830,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,970,2022,total,12.4,34821,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,969,2022,total,9.5,23659,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,976,2022,total,11.9,15240,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,964,2022,total,12.1,4436,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,975,2023,total,12.1,14861,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,961,2023,total,10.9,6343,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,972,2023,total,14.6,13976,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,964,2023,total,12.5,4584,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,967,2023,total,13.4,13414,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,965,2023,total,12.6,18916,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,959,2023,total,13.8,11641,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,960,2023,total,8.6,28167,960,Helsingin kaupunki,City of Helsinki
683,973,2023,total,12.2,25733,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,966,2023,total,11.4,12705,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,978,2023,total,11.5,31165,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,969,2023,total,9.5,24162,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,958,2023,total,13.8,15148,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,977,2023,total,10.7,14791,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,974,2023,total,14.7,21055,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,962,2023,total,12.9,5591,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,956,2023,total,6.8,1191,956,Ahvenanmaa,Åland
683,971,2023,total,10.3,9750,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,968,2023,total,13.1,13430,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,976,2023,total,12.2,15491,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,963,2023,total,13.1,13298,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,970,2023,total,12.5,35582,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,957,2023,total,11.7,8962,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
