indicator,region,year,gender,diabetes_rate,absolute value,id,title.fi,title.en
683,965,2007,total,6.8,9433,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,971,2007,total,5.5,4781,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,977,2007,total,5.4,5688,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,960,2007,total,4.6,12784,960,Helsingin kaupunki,City of Helsinki
683,972,2007,total,7.3,7061,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,959,2007,total,6.9,6196,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,967,2008,total,6.8,6931,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,964,2008,total,7.5,2600,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,961,2008,total,5.6,2847,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,978,2008,total,5.9,14536,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,975,2008,total,6.4,7496,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,957,2008,total,6.6,5093,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,963,2008,total,6.5,6129,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,968,2008,total,6.8,6999,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,956,2008,total,3.9,571,956,Ahvenanmaa,Åland
683,962,2008,total,7.2,3372,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,974,2008,total,7.4,10511,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,976,2008,total,6.7,8675,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,973,2008,total,7.0,12819,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,958,2008,total,8.1,8803,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,966,2008,total,5.9,5266,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,970,2008,total,6.5,16131,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,969,2008,total,4.9,9865,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,959,2008,total,7.3,6576,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,960,2008,total,4.9,13660,960,Helsingin kaupunki,City of Helsinki
683,972,2008,total,7.7,7539,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,965,2008,total,7.2,10178,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,971,2008,total,5.8,5133,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,977,2008,total,5.9,6332,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,967,2009,total,7.3,7506,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county
683,971,2009,total,6.2,5543,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,961,2009,total,6.0,3047,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,978,2009,total,6.4,15714,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,964,2009,total,7.7,2707,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,972,2009,total,8.3,8082,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,966,2009,total,6.3,5765,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,959,2009,total,7.8,7054,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,965,2009,total,7.8,10964,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,960,2009,total,5.2,14752,960,Helsingin kaupunki,City of Helsinki
