indicator,region,year,gender,primary value,absolute value
683,839,2019,total,5.8,969
683,494,2019,total,12.4,12608
683,359,2019,total,12.2,765
683,969,2019,total,9.3,22187
683,618,2019,total,11.9,4240
683,404,2019,total,10.9,1043
683,280,2019,total,13.8,305
683,93,2019,total,15.7,320
683,100,2019,total,14.0,1102
683,132,2019,total,12.2,124
683,588,2019,total,12.2,3566
683,61,2019,total,10.5,455
683,327,2019,total,11.8,3677
683,607,2019,total,11.1,8514
683,171,2019,total,13.9,121
683,226,2019,total,15.8,217
683,560,2019,total,11.0,9829
683,303,2019,total,10.8,346
683,592,2019,total,15.4,1810
683,11,2019,total,9.7,263
683,153,2019,total,10.6,471
683,977,2019,total,10.6,13591
683,563,2019,total,12.1,1612
683,150,2019,total,13.2,201
683,306,2019,total,15.1,125
683,258,2019,total,12.9,99
683,843,2019,total,12.4,88259
683,795,2019,total,14.3,961
683,385,2019,total,13.8,247
683,201,2019,total,11.3,772
683,356,2019,total,13.0,166
683,39,2019,total,10.0,539
683,114,2019,total,6.5,356
683,846,2019,total,12.8,60136
683,49,2019,total,9.9,1369
683,4,2019,total,11.0,153
683,178,2019,total,11.0,489
683,223,2019,total,14.9,82
683,268,2019,total,11.2,394
683,615,2019,total,11.1,4583
683,313,2019,total,11.3,1558
683,491,2019,total,12.0,11993
683,422,2019,total,11.1,213
683,83,2019,total,14.5,174
683,32,2019,total,12.9,96
683,531,2019,total,10.9,22354
683,64,2019,total,15.9,582
683,425,2019,total,11.0,1757
683,974,2019,total,13.3,19004
683,111,2019,total,13.0,117
683,521,2019,total,10.1,4006
683,798,2019,total,14.8,493
683,142,2019,total,10.5,2578
683,156,2019,total,11.3,658
683,204,2019,total,12.9,1279
683,310,2019,total,14.6,603
683,283,2019,total,14.6,437
683,585,2019,total,12.0,2709
683,612,2019,total,11.8,15779
683,506,2019,total,5.8,969
683,175,2019,total,6.1,10
683,220,2019,total,12.9,158
683,374,2019,total,12.0,306
683,207,2019,total,12.2,1152
683,524,2019,total,14.2,1636
683,22,2019,total,10.3,569
683,971,2019,total,9.5,8751
683,346,2019,total,12.3,89
683,46,2019,total,8.5,26706
683,117,2019,total,12.5,1553
683,196,2019,total,18.0,86
683,849,2019,total,11.8,45514
683,241,2019,total,12.4,660
683,500,2019,total,13.2,14391
683,316,2019,total,13.3,308
683,545,2019,total,12.1,5206
683,138,2019,total,13.7,694
683,350,2019,total,15.4,425
683,503,2019,total,11.5,23487
683,349,2019,total,13.6,139
683,392,2019,total,14.0,253
683,958,2019,total,13.2,14391
683,582,2019,total,13.7,2501
683,219,2019,total,5.7,376
683,629,2019,total,9.5,79833
683,193,2019,total,10.1,1155
683,25,2019,total,14.2,1505
683,160,2019,total,6.4,14
683,265,2019,total,11.3,661
683,343,2019,total,14.1,342
683,328,2019,total,12.3,437
683,94,2019,total,11.8,2329
683,266,2019,total,16.2,362
683,311,2019,total,12.6,600
683,405,2019,total,13.0,258
683,617,2019,total,12.6,5574
683,62,2019,total,13.9,617
683,21,2019,total,10.1,707
683,799,2019,total,10.0,2557
683,844,2019,total,5.8,969
683,15,2019,total,6.4,38
683,148,2019,total,10.2,129
683,290,2019,total,15.5,442
683,88,2019,total,12.1,1612
683,976,2019,total,11.3,14510
683,305,2019,total,15.4,523
683,243,2019,total,13.2,431
683,564,2019,total,12.8,1692
683,154,2019,total,9.3,338
683,578,2019,total,10.8,2994
683,231,2019,total,11.8,516
683,9,2019,total,10.5,566
683,76,2019,total,4.4,113
683,384,2019,total,14.4,436
683,552,2019,total,14.7,738
683,523,2019,total,11.5,8868
683,38,2019,total,14.3,292
683,962,2019,total,12.6,5574
683,113,2019,total,13.9,1333
683,389,2019,total,10.5,9845
683,237,2019,total,12.3,572
683,558,2019,total,15.1,1783
683,603,2019,total,12.0,11993
683,284,2019,total,9.2,994
683,361,2019,total,14.8,271
683,331,2019,total,9.4,318
683,119,2019,total,10.9,511
683,348,2019,total,12.4,289
683,956,2019,total,5.8,969
683,82,2019,total,15.0,506
683,166,2019,total,12.7,90
683,107,2019,total,13.5,726
683,213,2019,total,10.5,336
683,27,2019,total,5.9,17
683,198,2019,total,9.5,1019
683,136,2019,total,10.3,377
683,611,2019,total,13.3,18500
683,838,2019,total,12.2,12419
683,272,2019,total,10.4,73
683,44,2019,total,11.6,1487
683,517,2019,total,11.2,4211
683,186,2019,total,13.2,1057
683,596,2019,total,5.7,376
683,400,2019,total,9.3,72
683,903,2019,total,12.0,59332
683,323,2019,total,11.2,1780
683,721,2019,total,14.7,2817
683,584,2019,total,14.7,2290
683,174,2019,total,14.3,214
683,505,2019,total,12.2,12419
683,435,2019,total,4.7,13
683,373,2019,total,10.2,303
683,572,2019,total,13.6,1671
683,589,2019,total,11.9,3985
683,968,2019,total,12.2,12419
683,101,2019,total,14.6,137
683,68,2019,total,9.7,325
683,317,2019,total,9.8,2212
683,970,2019,total,11.6,31651
683,255,2019,total,9.7,545
683,300,2019,total,16.4,315
683,833,2019,total,10.1,125907
683,118,2019,total,16.3,869
683,197,2019,total,15.4,1200
683,242,2019,total,10.1,1207
683,336,2019,total,11.4,702
683,595,2019,total,11.4,1180
683,26,2019,total,6.1,20
683,535,2019,total,14.6,2485
683,794,2019,total,9.7,915
683,200,2019,total,9.4,363
683,547,2019,total,13.5,3627
683,516,2019,total,9.7,1351
683,45,2019,total,14.7,358
683,489,2019,total,10.8,28422
683,70,2019,total,12.5,347
683,590,2019,total,11.7,3829
683,417,2019,total,14.7,209
683,161,2019,total,12.3,7523
683,609,2019,total,12.6,7842
683,192,2019,total,4.7,50
683,312,2019,total,13.1,1798
683,342,2019,total,11.5,216
683,541,2019,total,10.9,5487
683,297,2019,total,9.5,109
683,496,2019,total,12.8,10965
683,63,2019,total,12.7,824
683,173,2019,total,10.8,304
683,616,2019,total,11.5,23276
683,99,2019,total,13.8,515
683,845,2019,total,10.0,113914
683,423,2019,total,14.3,317
683,490,2019,total,11.3,14510
683,224,2019,total,13.4,281
683,261,2019,total,10.0,9346
683,179,2019,total,11.2,544
683,727,2019,total,11.1,329282
683,577,2019,total,12.2,1040
683,291,2019,total,14.2,194
683,273,2019,total,11.2,279
683,33,2019,total,11.0,1424
683,378,2019,total,10.9,12043
683,528,2019,total,15.3,1500
683,167,2019,total,11.5,1083
683,75,2019,total,12.7,408
683,975,2019,total,10.4,12721
683,354,2019,total,9.5,335
683,658,2019,total,11.1,331279
683,87,2019,total,15.6,174
683,963,2019,total,12.0,11993
683,553,2019,total,14.7,3338
683,143,2019,total,11.1,259
683,248,2019,total,11.2,2056
683,2,2019,total,13.2,752
683,34,2019,total,6.3,56
683,206,2019,total,12.5,600
683,144,2019,total,14.6,259
683,66,2019,total,11.4,496
683,238,2019,total,11.1,129
683,221,2019,total,10.7,557
683,253,2019,total,10.6,2395
683,330,2019,total,12.6,385
683,19,2019,total,13.1,156
683,285,2019,total,15.9,412
683,957,2019,total,11.1,8514
683,394,2019,total,13.4,364
683,848,2019,total,10.7,51683
683,347,2019,total,11.8,3668
683,972,2019,total,13.4,12776
683,427,2019,total,19.6,823
683,504,2019,total,12.6,5574
683,518,2019,total,10.5,18106
683,271,2019,total,8.4,422
683,610,2019,total,13.4,12776
683,84,2019,total,14.5,613
683,568,2019,total,12.8,9078
683,597,2019,total,5.9,515
683,69,2019,total,12.2,159
683,583,2019,total,15.2,1178
683,20,2019,total,8.4,11265
683,492,2019,total,11.6,31651
683,376,2019,total,12.7,482
683,421,2019,total,11.8,289
683,115,2019,total,10.5,238
683,344,2019,total,13.1,2844
683,318,2019,total,14.3,304
683,834,2019,total,11.0,42932
683,5,2019,total,13.5,916
683,52,2019,total,11.2,685
683,209,2019,total,11.0,101
683,288,2019,total,9.1,908
683,48,2019,total,13.6,209
683,530,2019,total,12.9,3243
683,397,2019,total,11.6,880
683,501,2019,total,9.5,8751
683,368,2019,total,12.7,714
683,551,2019,total,12.3,8989
683,961,2019,total,10.6,5900
683,579,2019,total,10.2,11622
683,23,2019,total,13.5,199
683,141,2019,total,12.2,568
683,445,2019,total,9.9,712
683,191,2019,total,10.5,190
683,296,2019,total,12.5,631
683,112,2019,total,14.4,1140
683,495,2019,total,11.1,8514
683,540,2019,total,12.0,6108
683,602,2019,total,11.3,14510
683,448,2019,total,11.9,2032
683,92,2019,total,10.0,1856
683,358,2019,total,16.0,426
683,403,2019,total,6.6,267
683,904,2019,total,12.8,58524
683,133,2019,total,9.0,1882
683,728,2019,total,5.8,969
683,77,2019,total,16.1,504
683,292,2019,total,11.0,5253
683,260,2019,total,16.0,658
683,576,2019,total,8.5,2186
683,274,2019,total,11.9,160
683,151,2019,total,12.2,3816
683,413,2019,total,10.4,11415
683,108,2019,total,14.2,379
683,837,2019,total,11.7,29061
683,259,2019,total,13.2,760
683,964,2019,total,11.2,4034
683,187,2019,total,11.8,1165
683,355,2019,total,11.8,612
683,74,2019,total,12.1,4687
683,55,2019,total,11.1,2871
683,554,2019,total,15.4,1430
683,307,2019,total,10.6,133
683,95,2019,total,11.6,815
683,250,2019,total,11.5,297
683,235,2019,total,10.2,539
683,37,2019,total,13.2,576
683,967,2019,total,12.4,12608
683,539,2019,total,12.9,6500
683,515,2019,total,12.1,1351
683,301,2019,total,18.5,356
683,699,2019,total,5.7,78
683,102,2019,total,13.8,416
683,184,2019,total,10.8,4316
683,605,2019,total,10.4,12959
683,406,2019,total,10.0,3272
683,58,2019,total,11.8,4579
683,488,2019,total,9.5,80071
683,594,2019,total,10.8,925
683,793,2019,total,9.8,436
683,181,2019,total,11.9,199
683,591,2019,total,13.1,690
683,383,2019,total,13.0,430
683,13,2019,total,6.1,19
683,304,2019,total,15.2,278
683,232,2019,total,13.0,141
683,126,2019,total,13.1,835
683,325,2019,total,11.8,110
683,841,2019,total,11.2,74258
683,608,2019,total,13.5,3627
683,536,2019,total,10.4,12721
683,431,2019,total,14.2,305
683,570,2019,total,14.1,1793
683,901,2019,total,10.0,113914
683,587,2019,total,13.3,2008
683,116,2019,total,17.0,265
683,375,2019,total,13.6,152
683,452,2019,total,12.5,1433
683,420,2019,total,18.9,284
683,53,2019,total,12.3,172
683,163,2019,total,13.8,316
683,835,2019,total,13.2,42745
683,257,2019,total,10.9,1046
683,561,2019,total,12.5,465
683,302,2019,total,14.2,234
683,850,2019,total,5.8,969
683,514,2019,total,10.6,3505
683,732,2019,total,12.9,1239
683,139,2019,total,15.4,119
683,549,2019,total,13.4,2132
683,12,2019,total,11.6,246
683,320,2019,total,12.6,306
683,334,2019,total,16.1,264
683,393,2019,total,12.0,2571
683,228,2019,total,11.6,3588
683,319,2019,total,13.9,165
683,398,2019,total,13.2,418
683,202,2019,total,12.1,3309
683,614,2019,total,9.5,8413
683,796,2019,total,10.0,1680
683,24,2019,total,7.1,101
683,91,2019,total,10.4,2321
683,216,2019,total,8.8,289
683,295,2019,total,13.4,328
683,369,2019,total,14.3,653
683,65,2019,total,11.1,1890
683,35,2019,total,12.9,407
683,145,2019,total,10.5,789
683,526,2019,total,11.5,2948
683,847,2019,total,12.0,58035
683,314,2019,total,14.0,338
683,97,2019,total,10.0,1720
683,177,2019,total,9.9,6550
683,543,2019,total,11.4,3027
683,370,2019,total,12.7,354
683,498,2019,total,13.4,12776
683,293,2019,total,9.9,268
683,449,2019,total,10.8,162
683,575,2019,total,10.4,1133
683,408,2019,total,12.8,1586
683,620,2019,total,5.8,969
683,18,2019,total,18.2,174
683,973,2019,total,11.5,23487
683,381,2019,total,17.0,189
683,352,2019,total,12.9,257
683,85,2019,total,10.6,7002
683,195,2019,total,15.3,961
683,157,2019,total,11.4,191
683,263,2019,total,16.1,675
683,965,2019,total,11.9,17391
683,340,2019,total,7.5,79
683,567,2019,total,13.8,1849
683,73,2019,total,12.3,1198
683,339,2019,total,11.0,3525
683,234,2019,total,8.6,900
683,619,2019,total,12.3,8179
683,36,2019,total,10.0,552
683,525,2019,total,11.7,6316
683,499,2019,total,11.9,17391
683,210,2019,total,6.1,15
683,606,2019,total,12.4,12608
683,382,2019,total,12.0,224
683,183,2019,total,14.3,283
683,208,2019,total,11.5,61
683,698,2019,total,13.3,2069
683,152,2019,total,12.9,6500
683,960,2019,total,8.5,26706
683,351,2019,total,12.8,1466
683,444,2019,total,14.7,411
683,550,2019,total,13.8,4509
683,959,2019,total,12.8,10965
683,581,2019,total,13.0,1798
683,59,2019,total,12.5,632
683,502,2019,total,11.2,4034
683,842,2019,total,11.6,86694
683,127,2019,total,17.5,218
683,233,2019,total,9.5,133
683,60,2019,total,12.0,1497
683,978,2019,total,10.8,28422
683,432,2019,total,12.1,549
683,264,2019,total,14.0,298
683,252,2019,total,15.1,982
683,357,2019,total,12.1,686
683,586,2019,total,11.6,1389
683,402,2019,total,12.3,230
683,451,2019,total,15.3,561
683,269,2019,total,16.1,665
683,601,2019,total,10.8,28737
683,556,2019,total,12.7,8811
683,164,2019,total,14.4,1849
683,905,2019,total,11.7,45852
683,239,2019,total,11.3,1261
683,363,2019,total,7.3,46
683,78,2019,total,12.7,404
683,562,2019,total,13.1,976
683,519,2019,total,11.5,2171
683,29,2019,total,15.7,560
683,122,2019,total,11.5,2176
683,399,2019,total,16.2,277
683,520,2019,total,12.7,2583
683,836,2019,total,11.6,76218
683,321,2019,total,13.7,211
683,30,2019,total,12.8,89
683,110,2019,total,14.1,221
683,54,2019,total,16.4,280
683,387,2019,total,12.4,181
683,493,2019,total,10.4,12721
683,414,2019,total,14.1,1873
683,282,2019,total,13.0,1519
683,613,2019,total,13.2,14391
683,797,2019,total,14.4,2170
683,127,2020,total,17.7,223
683,110,2020,total,14.1,219
683,32,2020,total,13.6,99
683,204,2020,total,13.4,1322
683,49,2020,total,10.1,1399
683,142,2020,total,10.7,2645
683,64,2020,total,16.2,586
683,174,2020,total,14.4,214
683,283,2020,total,15.0,447
683,846,2020,total,13.1,61528
683,970,2020,total,11.8,32481
683,268,2020,total,11.5,399
683,313,2020,total,11.6,1615
683,348,2020,total,12.9,300
683,516,2020,total,9.8,1370
683,425,2020,total,11.1,1782
683,363,2020,total,7.0,44
683,82,2020,total,15.3,511
683,192,2020,total,5.0,54
683,531,2020,total,11.1,23090
683,489,2020,total,11.1,29244
683,595,2020,total,11.8,1216
683,849,2020,total,11.9,46417
683,502,2020,total,11.4,4145
683,581,2020,total,13.5,1850
683,78,2020,total,13.0,409
683,905,2020,total,11.9,46768
683,46,2020,total,8.5,26975
683,490,2020,total,11.5,14674
683,552,2020,total,15.4,759
683,113,2020,total,14.1,1352
683,342,2020,total,11.8,221
683,265,2020,total,11.1,658
683,297,2020,total,9.8,112
683,207,2020,total,12.3,1156
683,374,2020,total,12.9,326
683,451,2020,total,15.7,570
683,958,2020,total,13.3,14512
683,392,2020,total,15.2,272
683,577,2020,total,12.5,1059
683,422,2020,total,11.4,218
683,239,2020,total,11.2,1272
683,519,2020,total,11.8,2227
683,316,2020,total,13.3,305
683,160,2020,total,8.1,18
683,21,2020,total,10.5,728
683,520,2020,total,13.0,2643
683,99,2020,total,14.4,532
683,138,2020,total,14.1,702
683,523,2020,total,11.6,8949
683,371,2020,total,12.4,539
683,369,2020,total,14.6,660
683,388,2020,total,11.1,1322
683,570,2020,total,14.3,1813
683,116,2020,total,17.0,260
683,88,2020,total,12.3,1623
683,587,2020,total,13.6,2030
683,43,2020,total,11.8,581
683,617,2020,total,12.7,5593
683,181,2020,total,12.2,204
683,497,2020,total,13.7,19576
683,966,2020,total,11.1,11851
683,24,2020,total,7.0,100
683,560,2020,total,11.0,9991
683,850,2020,total,6.1,1025
683,195,2020,total,15.6,982
683,102,2020,total,14.7,441
683,334,2020,total,15.8,256
683,57,2020,total,10.3,628
683,243,2020,total,13.2,430
683,559,2020,total,15.7,2227
683,839,2020,total,6.1,1025
683,135,2020,total,15.6,1101
683,545,2020,total,12.4,5326
683,976,2020,total,11.5,14674
683,228,2020,total,11.8,3644
683,840,2020,total,9.5,81042
683,370,2020,total,13.1,364
683,607,2020,total,11.1,8551
683,9,2020,total,11.1,602
683,61,2020,total,10.9,469
683,355,2020,total,12.4,640
683,385,2020,total,14.2,252
683,843,2020,total,12.7,90309
683,400,2020,total,8.9,69
683,798,2020,total,15.0,500
683,171,2020,total,14.0,120
683,584,2020,total,15.0,2325
683,156,2020,total,11.3,653
683,614,2020,total,9.7,8644
683,201,2020,total,11.6,792
683,505,2020,total,12.4,12666
683,494,2020,total,12.6,12802
683,310,2020,total,14.8,612
683,969,2020,total,9.3,22491
683,150,2020,total,13.5,203
683,327,2020,total,12.0,3774
683,27,2020,total,6.4,19
683,526,2020,total,11.7,3033
683,177,2020,total,10.2,6822
683,132,2020,total,12.8,130
683,85,2020,total,10.6,7103
683,119,2020,total,11.2,523
683,973,2020,total,11.7,24013
683,331,2020,total,9.5,328
683,258,2020,total,12.2,95
683,39,2020,total,10.2,551
683,198,2020,total,9.6,1047
683,153,2020,total,10.8,474
683,563,2020,total,12.3,1623
683,611,2020,total,13.7,19057
683,306,2020,total,15.3,126
683,795,2020,total,14.4,958
683,280,2020,total,14.0,308
683,352,2020,total,13.3,263
683,553,2020,total,15.1,3419
683,92,2020,total,10.2,1937
683,615,2020,total,11.4,4710
683,521,2020,total,10.4,4096
683,296,2020,total,13.2,663
683,13,2020,total,7.0,22
683,373,2020,total,10.3,303
683,968,2020,total,12.4,12666
683,403,2020,total,6.9,280
683,45,2020,total,15.4,371
683,178,2020,total,11.4,510
683,223,2020,total,14.8,80
683,358,2020,total,16.5,437
683,435,2020,total,4.3,12
683,576,2020,total,8.7,2248
683,241,2020,total,12.8,674
683,255,2020,total,9.7,548
683,609,2020,total,13.0,8018
683,317,2020,total,9.9,2252
683,547,2020,total,13.8,3678
683,727,2020,total,11.3,335804
683,833,2020,total,10.2,127953
683,161,2020,total,12.7,7827
683,535,2020,total,14.7,2503
683,200,2020,total,9.5,372
683,974,2020,total,13.7,19576
683,794,2020,total,9.8,928
683,417,2020,total,14.6,210
683,430,2020,total,14.8,266
683,63,2020,total,12.9,840
683,291,2020,total,14.1,189
683,33,2020,total,11.2,1445
683,143,2020,total,10.8,254
683,235,2020,total,10.4,561
683,963,2020,total,12.3,12376
683,901,2020,total,10.0,115577
683,496,2020,total,13.1,11177
683,541,2020,total,11.0,5532
683,74,2020,total,12.5,4839
683,312,2020,total,13.3,1826
683,117,2020,total,12.8,1582
683,845,2020,total,10.0,115577
683,378,2020,total,11.1,12446
683,699,2020,total,6.3,87
683,515,2020,total,12.3,1360
683,300,2020,total,16.7,319
683,196,2020,total,17.5,83
683,273,2020,total,11.3,275
683,167,2020,total,11.9,1122
683,25,2020,total,14.6,1541
683,604,2020,total,11.8,33785
683,488,2020,total,9.5,81042
683,594,2020,total,11.1,954
683,184,2020,total,10.9,4381
683,261,2020,total,10.1,9559
683,503,2020,total,11.7,24013
683,582,2020,total,13.8,2528
683,583,2020,total,15.4,1187
683,844,2020,total,6.1,1025
683,247,2020,total,15.6,813
683,311,2020,total,12.6,604
683,266,2020,total,16.0,352
683,902,2020,total,10.8,53906
683,112,2020,total,14.6,1149
683,290,2020,total,16.0,453
683,658,2020,total,11.3,337971
683,2,2020,total,13.3,755
683,527,2020,total,13.7,2794
683,510,2020,total,9.4,73550
683,75,2020,total,12.8,408
683,799,2020,total,10.0,2578
683,328,2020,total,12.1,427
683,62,2020,total,14.0,625
683,330,2020,total,12.7,381
683,272,2020,total,10.9,76
683,224,2020,total,13.1,271
683,38,2020,total,14.1,286
683,212,2020,total,8.0,171
683,423,2020,total,14.9,327
683,166,2020,total,12.5,91
683,610,2020,total,13.8,13139
683,20,2020,total,8.4,11441
683,564,2020,total,13.2,1737
683,962,2020,total,12.7,5593
683,504,2020,total,12.7,5593
683,19,2020,total,13.8,163
683,353,2020,total,9.0,1074
683,154,2020,total,9.6,351
683,305,2020,total,15.5,521
683,384,2020,total,15.0,447
683,721,2020,total,14.9,2844
683,173,2020,total,11.7,330
683,323,2020,total,11.5,1844
683,603,2020,total,12.3,12376
683,588,2020,total,12.2,3563
683,100,2020,total,14.0,1095
683,389,2020,total,10.7,10085
683,558,2020,total,15.5,1804
683,284,2020,total,9.4,1022
683,44,2020,total,12.1,1541
683,404,2020,total,11.5,1094
683,359,2020,total,12.1,768
683,93,2020,total,16.4,327
683,838,2020,total,12.4,12666
683,148,2020,total,10.7,135
683,136,2020,total,10.9,397
683,242,2020,total,10.2,1245
683,956,2020,total,6.1,1025
683,191,2020,total,10.5,189
683,347,2020,total,11.8,3714
683,68,2020,total,9.2,310
683,431,2020,total,14.5,312
683,354,2020,total,9.7,348
683,448,2020,total,12.2,2105
683,292,2020,total,11.2,5356
683,339,2020,total,11.4,3663
683,260,2020,total,15.8,650
683,540,2020,total,12.1,6184
683,964,2020,total,11.4,4145
683,73,2020,total,12.7,1229
683,183,2020,total,15.0,292
683,495,2020,total,11.1,8551
683,589,2020,total,12.1,4079
683,58,2020,total,12.1,4769
683,572,2020,total,13.7,1668
683,525,2020,total,12.0,6549
683,602,2020,total,11.5,14674
683,101,2020,total,14.8,140
683,590,2020,total,12.0,3917
683,210,2020,total,7.8,19
683,133,2020,total,8.9,1888
683,55,2020,total,11.2,2905
683,620,2020,total,6.1,1025
683,26,2020,total,6.7,22
683,197,2020,total,16.2,1251
683,605,2020,total,10.8,13422
683,274,2020,total,12.1,161
683,528,2020,total,15.4,1510
683,118,2020,total,16.2,862
683,698,2020,total,13.5,2068
683,619,2020,total,12.5,8339
683,307,2020,total,10.9,136
683,413,2020,total,10.4,11540
683,351,2020,total,13.1,1511
683,259,2020,total,13.4,770
683,837,2020,total,11.8,29606
683,336,2020,total,11.4,698
683,70,2020,total,12.0,330
683,325,2020,total,11.8,107
683,539,2020,total,13.2,6618
683,91,2020,total,10.6,2392
683,492,2020,total,11.8,32481
683,796,2020,total,10.2,1711
683,357,2020,total,12.9,729
683,402,2020,total,12.1,227
683,841,2020,total,11.4,76155
683,248,2020,total,11.3,2118
683,978,2020,total,11.1,29244
683,29,2020,total,15.7,561
683,586,2020,total,12.1,1448
683,12,2020,total,12.0,257
683,967,2020,total,12.6,12802
683,616,2020,total,11.6,23799
683,608,2020,total,13.8,3678
683,561,2020,total,12.8,474
683,179,2020,total,11.1,543
683,87,2020,total,16.1,178
683,151,2020,total,12.3,3850
683,793,2020,total,9.9,442
683,122,2020,total,11.5,2197
683,304,2020,total,15.1,279
683,383,2020,total,13.1,431
683,37,2020,total,13.1,568
683,975,2020,total,10.8,13182
683,219,2020,total,6.0,396
683,15,2020,total,6.8,40
683,144,2020,total,15.5,274
683,536,2020,total,10.8,13182
683,34,2020,total,6.8,61
683,234,2020,total,8.9,941
683,568,2020,total,12.9,9163
683,343,2020,total,14.0,337
683,405,2020,total,13.7,267
683,94,2020,total,11.8,2336
683,452,2020,total,12.8,1463
683,253,2020,total,10.7,2445
683,206,2020,total,12.5,608
683,271,2020,total,8.3,424
683,285,2020,total,16.3,418
683,301,2020,total,19.0,358
683,500,2020,total,13.3,14512
683,957,2020,total,11.1,8551
683,394,2020,total,13.5,373
683,578,2020,total,11.1,3086
683,69,2020,total,12.8,166
683,408,2020,total,13.0,1604
683,346,2020,total,12.3,89
683,209,2020,total,11.2,104
683,288,2020,total,9.3,937
683,514,2020,total,10.6,3554
683,732,2020,total,13.1,1271
683,427,2020,total,20.1,835
683,231,2020,total,11.9,527
683,141,2020,total,12.4,564
683,111,2020,total,13.3,119
683,18,2020,total,18.4,178
683,340,2020,total,7.4,79
683,903,2020,total,12.2,60673
683,295,2020,total,13.2,319
683,445,2020,total,10.4,752
683,216,2020,total,9.1,300
683,250,2020,total,11.9,311
683,554,2020,total,15.6,1439
683,48,2020,total,14.6,227
683,376,2020,total,13.1,497
683,421,2020,total,11.8,293
683,361,2020,total,14.7,265
683,237,2020,total,12.4,577
683,76,2020,total,4.8,126
683,318,2020,total,14.6,306
683,530,2020,total,13.2,3310
683,575,2020,total,10.5,1141
683,834,2020,total,11.2,43918
683,397,2020,total,11.8,893
683,97,2020,total,10.3,1801
683,213,2020,total,10.2,322
683,52,2020,total,11.1,678
683,551,2020,total,12.7,9338
683,728,2020,total,6.1,1025
683,517,2020,total,11.6,4392
683,596,2020,total,6.0,396
683,107,2020,total,13.8,747
683,961,2020,total,10.6,5988
683,186,2020,total,13.3,1066
683,77,2020,total,16.7,519
683,491,2020,total,12.3,12376
683,187,2020,total,12.0,1198
683,60,2020,total,12.3,1530
683,232,2020,total,12.7,137
683,264,2020,total,14.3,301
683,506,2020,total,6.1,1025
683,585,2020,total,12.3,2791
683,797,2020,total,14.4,2184
683,842,2020,total,11.7,88298
683,208,2020,total,12.1,65
683,114,2020,total,6.5,366
683,4,2020,total,11.6,161
683,904,2020,total,13.1,59905
683,226,2020,total,16.6,229
683,164,2020,total,14.6,1861
683,591,2020,total,13.1,685
683,959,2020,total,13.1,11177
683,499,2020,total,12.0,17636
683,303,2020,total,10.9,348
683,406,2020,total,10.2,3365
683,152,2020,total,13.2,6618
683,562,2020,total,13.0,967
683,960,2020,total,8.5,26975
683,382,2020,total,12.4,227
683,108,2020,total,14.4,378
683,550,2020,total,14.2,4621
683,444,2020,total,14.6,410
683,36,2020,total,10.2,557
683,22,2020,total,10.3,577
683,524,2020,total,14.2,1629
683,612,2020,total,11.9,16013
683,126,2020,total,13.1,830
683,175,2020,total,6.7,11
683,220,2020,total,13.2,162
683,387,2020,total,12.7,187
683,95,2020,total,12.0,848
683,269,2020,total,16.2,662
683,252,2020,total,15.1,976
683,601,2020,total,11.1,29563
683,629,2020,total,9.5,80802
683,556,2020,total,13.1,9108
683,54,2020,total,16.9,279
683,836,2020,total,11.8,77769
683,349,2020,total,13.6,137
683,971,2020,total,9.7,8995
683,83,2020,total,14.8,174
683,193,2020,total,10.1,1188
683,350,2020,total,15.3,423
683,848,2020,total,10.9,52913
683,282,2020,total,13.5,1566
683,66,2020,total,11.7,507
683,399,2020,total,16.7,281
683,321,2020,total,14.0,214
683,294,2020,total,10.7,3051
683,157,2020,total,11.6,192
683,202,2020,total,12.2,3341
683,493,2020,total,10.8,13182
683,414,2020,total,14.5,1918
683,356,2020,total,12.3,156
683,613,2020,total,13.3,14512
683,238,2020,total,11.1,128
683,221,2020,total,11.2,588
683,574,2020,total,10.0,5606
683,163,2020,total,13.6,314
683,375,2020,total,13.6,153
683,30,2020,total,13.3,92
683,420,2020,total,19.0,282
683,28,2020,total,14.3,563
683,972,2020,total,13.8,13139
683,84,2020,total,14.6,607
683,835,2020,total,13.6,43892
683,5,2020,total,13.7,929
683,121,2020,total,9.9,857
683,257,2020,total,11.2,1068
683,139,2020,total,16.1,125
683,854,2020,total,9.6,355
683,320,2020,total,13.0,311
683,518,2020,total,10.7,18612
683,597,2020,total,6.1,542
683,549,2020,total,13.8,2173
683,53,2020,total,13.2,185
683,319,2020,total,14.0,160
683,398,2020,total,13.9,435
683,233,2020,total,10.1,140
683,965,2020,total,12.0,17636
683,293,2020,total,9.9,270
683,263,2020,total,16.6,689
683,567,2020,total,14.1,1868
683,338,2020,total,18.3,469
683,618,2020,total,12.2,4327
683,432,2020,total,12.3,555
683,65,2020,total,11.1,1882
683,381,2020,total,17.2,191
683,314,2020,total,14.4,342
683,847,2020,total,12.2,59369
683,182,2020,total,15.9,918
683,145,2020,total,11.4,867
683,543,2020,total,11.5,3019
683,498,2020,total,13.8,13139
683,115,2020,total,10.7,246
683,344,2020,total,13.5,2893
683,59,2020,total,12.5,639
683,449,2020,total,10.9,163
683,302,2020,total,15.1,249
683,393,2020,total,11.9,2567
683,103,2020,total,14.7,122
683,23,2020,total,13.7,199
683,592,2020,total,15.5,1815
683,606,2020,total,12.6,12802
683,501,2020,total,9.7,8995
683,11,2020,total,9.7,263
683,977,2020,total,10.5,13737
683,368,2020,total,13.3,740
