indicator,region,year,gender,primary value,absolute value,id,title.fi,title.en,Information,Year,Region,value,hva_code,region_name
683,970,2020,total,11.8,32481,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA08 Pirkanmaa wellbeing services county,28182,HVA08,Pirkanmaa wellbeing services county
683,958,2020,total,13.3,14512,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA16 South Ostrobothnia wellbeing services county,27620,HVA16,South Ostrobothnia wellbeing services county
683,966,2020,total,11.1,11851,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA02 Central Uusimaa wellbeing services county,32537,HVA02,Central Uusimaa wellbeing services county
683,976,2020,total,11.5,14674,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA06 Satakunta wellbeing services county,27778,HVA06,Satakunta wellbeing services county
683,969,2020,total,9.3,22491,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA03 West Uusimaa wellbeing services county,33688,HVA03,West Uusimaa wellbeing services county
683,973,2020,total,11.7,24013,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA19 North Ostrobothnia wellbeing services county,27967,HVA19,North Ostrobothnia wellbeing services county
683,968,2020,total,12.4,12666,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA21 Lapland wellbeing services county,27907,HVA21,Lapland wellbeing services county
683,974,2020,total,13.7,19576,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA13 North Savo wellbeing services county,27196,HVA13,North Savo wellbeing services county
683,963,2020,total,12.3,12376,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA07 Kanta-Häme wellbeing services county,28782,HVA07,Kanta-Häme wellbeing services county
683,962,2020,total,12.7,5593,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA20 Kainuu wellbeing services county,27082,HVA20,Kainuu wellbeing services county
683,956,2020,total,6.1,1025,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2020,HVA91 Åland,33905,HVA91,Åland
683,964,2020,total,11.4,4145,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA18 Central Ostrobothnia wellbeing services county,28276,HVA18,Central Ostrobothnia wellbeing services county
683,978,2020,total,11.1,29244,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA05 Southwest Finland wellbeing services county,28457,HVA05,Southwest Finland wellbeing services county
683,967,2020,total,12.6,12802,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA10 Kymenlaakso wellbeing services county,27744,HVA10,Kymenlaakso wellbeing services county
683,975,2020,total,10.8,13182,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA09 Päijät-Häme wellbeing services county,27301,HVA09,Päijät-Häme wellbeing services county
683,957,2020,total,11.1,8551,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA11 South Karelia wellbeing services county,27249,HVA11,South Karelia wellbeing services county
683,961,2020,total,10.6,5988,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA01 East Uusimaa wellbeing services county,31901,HVA01,East Uusimaa wellbeing services county
683,959,2020,total,13.1,11177,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA12 South Savo wellbeing services county,26373,HVA12,South Savo wellbeing services county
683,960,2020,total,8.5,26975,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2020,HVA90 City of Helsinki,32150,HVA90,City of Helsinki
683,971,2020,total,9.7,8995,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA17 Ostrobothnia wellbeing services county,28938,HVA17,Ostrobothnia wellbeing services county
683,972,2020,total,13.8,13139,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA14 North Karelia wellbeing services county,25616,HVA14,North Karelia wellbeing services county
683,965,2020,total,12.0,17636,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA15 Central Finland wellbeing services county,26948,HVA15,Central Finland wellbeing services county
683,977,2020,total,10.5,13737,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2020,HVA04 Vantaa and Kerava wellbeing services county,31277,HVA04,Vantaa and Kerava wellbeing services county
683,962,2021,total,12.6,5543,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA20 Kainuu wellbeing services county,27218,HVA20,Kainuu wellbeing services county
683,976,2021,total,11.7,14981,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA06 Satakunta wellbeing services county,27907,HVA06,Satakunta wellbeing services county
683,965,2021,total,12.2,18092,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA15 Central Finland wellbeing services county,27206,HVA15,Central Finland wellbeing services county
683,968,2021,total,12.6,12930,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA21 Lapland wellbeing services county,27992,HVA21,Lapland wellbeing services county
683,973,2021,total,11.8,24499,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA19 North Ostrobothnia wellbeing services county,28129,HVA19,North Ostrobothnia wellbeing services county
683,970,2021,total,12.2,33802,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA08 Pirkanmaa wellbeing services county,28411,HVA08,Pirkanmaa wellbeing services county
683,975,2021,total,11.1,13638,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA09 Päijät-Häme wellbeing services county,27459,HVA09,Päijät-Häme wellbeing services county
683,966,2021,total,11.2,12164,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA02 Central Uusimaa wellbeing services county,32655,HVA02,Central Uusimaa wellbeing services county
683,961,2021,total,10.7,6112,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA01 East Uusimaa wellbeing services county,32286,HVA01,East Uusimaa wellbeing services county
683,967,2021,total,13.0,13160,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA10 Kymenlaakso wellbeing services county,27851,HVA10,Kymenlaakso wellbeing services county
683,974,2021,total,14.1,20101,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA13 North Savo wellbeing services county,27443,HVA13,North Savo wellbeing services county
683,959,2021,total,13.4,11377,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA12 South Savo wellbeing services county,26620,HVA12,South Savo wellbeing services county
683,956,2021,total,6.4,1089,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2021,HVA91 Åland,33840,HVA91,Åland
683,960,2021,total,8.6,27306,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2021,HVA90 City of Helsinki,32407,HVA90,City of Helsinki
683,963,2021,total,12.6,12728,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA07 Kanta-Häme wellbeing services county,28994,HVA07,Kanta-Häme wellbeing services county
683,978,2021,total,11.2,29967,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA05 Southwest Finland wellbeing services county,28683,HVA05,Southwest Finland wellbeing services county
683,957,2021,total,11.3,8693,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA11 South Karelia wellbeing services county,27352,HVA11,South Karelia wellbeing services county
683,969,2021,total,9.4,23147,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA03 West Uusimaa wellbeing services county,33917,HVA03,West Uusimaa wellbeing services county
683,972,2021,total,14.0,13358,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA14 North Karelia wellbeing services county,25825,HVA14,North Karelia wellbeing services county
683,977,2021,total,10.6,14061,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA04 Vantaa and Kerava wellbeing services county,31260,HVA04,Vantaa and Kerava wellbeing services county
683,964,2021,total,11.9,4322,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA18 Central Ostrobothnia wellbeing services county,28489,HVA18,Central Ostrobothnia wellbeing services county
683,958,2021,total,13.5,14738,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA16 South Ostrobothnia wellbeing services county,27922,HVA16,South Ostrobothnia wellbeing services county
683,971,2021,total,9.9,9230,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2021,HVA17 Ostrobothnia wellbeing services county,29119,HVA17,Ostrobothnia wellbeing services county
683,957,2022,total,11.5,8784,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA11 South Karelia wellbeing services county,26428,HVA11,South Karelia wellbeing services county
683,962,2022,total,12.7,5530,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA20 Kainuu wellbeing services county,26210,HVA20,Kainuu wellbeing services county
683,975,2022,total,11.5,14110,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA09 Päijät-Häme wellbeing services county,26606,HVA09,Päijät-Häme wellbeing services county
683,965,2022,total,12.4,18417,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA15 Central Finland wellbeing services county,26251,HVA15,Central Finland wellbeing services county
683,972,2022,total,14.3,13623,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA14 North Karelia wellbeing services county,24957,HVA14,North Karelia wellbeing services county
683,968,2022,total,12.8,13097,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA21 Lapland wellbeing services county,27297,HVA21,Lapland wellbeing services county
683,973,2022,total,12.0,25183,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA19 North Ostrobothnia wellbeing services county,27251,HVA19,North Ostrobothnia wellbeing services county
683,967,2022,total,13.2,13275,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA10 Kymenlaakso wellbeing services county,26923,HVA10,Kymenlaakso wellbeing services county
683,978,2022,total,11.3,30394,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA05 Southwest Finland wellbeing services county,27790,HVA05,Southwest Finland wellbeing services county
683,961,2022,total,10.8,6231,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA01 East Uusimaa wellbeing services county,31331,HVA01,East Uusimaa wellbeing services county
683,977,2022,total,10.7,14378,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA04 Vantaa and Kerava wellbeing services county,30213,HVA04,Vantaa and Kerava wellbeing services county
683,960,2022,total,8.6,27646,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2022,HVA90 City of Helsinki,31320,HVA90,City of Helsinki
683,974,2022,total,14.4,20604,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA13 North Savo wellbeing services county,26542,HVA13,North Savo wellbeing services county
683,963,2022,total,12.9,13036,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA07 Kanta-Häme wellbeing services county,28080,HVA07,Kanta-Häme wellbeing services county
683,966,2022,total,11.2,12368,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA02 Central Uusimaa wellbeing services county,31649,HVA02,Central Uusimaa wellbeing services county
683,971,2022,total,10.1,9443,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA17 Ostrobothnia wellbeing services county,28155,HVA17,Ostrobothnia wellbeing services county
683,956,2022,total,6.5,1127,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2022,HVA91 Åland,32534,HVA91,Åland
683,959,2022,total,13.6,11522,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA12 South Savo wellbeing services county,25885,HVA12,South Savo wellbeing services county
683,958,2022,total,13.6,14830,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA16 South Ostrobothnia wellbeing services county,27071,HVA16,South Ostrobothnia wellbeing services county
683,970,2022,total,12.4,34821,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA08 Pirkanmaa wellbeing services county,27611,HVA08,Pirkanmaa wellbeing services county
683,969,2022,total,9.5,23659,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA03 West Uusimaa wellbeing services county,32745,HVA03,West Uusimaa wellbeing services county
683,976,2022,total,11.9,15240,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA06 Satakunta wellbeing services county,27034,HVA06,Satakunta wellbeing services county
683,964,2022,total,12.1,4436,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2022,HVA18 Central Ostrobothnia wellbeing services county,27492,HVA18,Central Ostrobothnia wellbeing services county
683,975,2023,total,12.1,14861,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA09 Päijät-Häme wellbeing services county,26124,HVA09,Päijät-Häme wellbeing services county
683,961,2023,total,10.9,6343,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA01 East Uusimaa wellbeing services county,30995,HVA01,East Uusimaa wellbeing services county
683,972,2023,total,14.6,13976,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA14 North Karelia wellbeing services county,24852,HVA14,North Karelia wellbeing services county
683,964,2023,total,12.5,4584,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA18 Central Ostrobothnia wellbeing services county,27214,HVA18,Central Ostrobothnia wellbeing services county
683,967,2023,total,13.4,13414,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA10 Kymenlaakso wellbeing services county,26705,HVA10,Kymenlaakso wellbeing services county
683,965,2023,total,12.6,18916,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA15 Central Finland wellbeing services county,25917,HVA15,Central Finland wellbeing services county
683,959,2023,total,13.8,11641,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA12 South Savo wellbeing services county,25903,HVA12,South Savo wellbeing services county
683,960,2023,total,8.6,28167,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2023,HVA90 City of Helsinki,30761,HVA90,City of Helsinki
683,973,2023,total,12.2,25733,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA19 North Ostrobothnia wellbeing services county,26856,HVA19,North Ostrobothnia wellbeing services county
683,966,2023,total,11.4,12705,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA02 Central Uusimaa wellbeing services county,31020,HVA02,Central Uusimaa wellbeing services county
683,978,2023,total,11.5,31165,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA05 Southwest Finland wellbeing services county,27391,HVA05,Southwest Finland wellbeing services county
683,969,2023,total,9.5,24162,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA03 West Uusimaa wellbeing services county,32214,HVA03,West Uusimaa wellbeing services county
683,958,2023,total,13.8,15148,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA16 South Ostrobothnia wellbeing services county,26704,HVA16,South Ostrobothnia wellbeing services county
683,977,2023,total,10.7,14791,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA04 Vantaa and Kerava wellbeing services county,29560,HVA04,Vantaa and Kerava wellbeing services county
683,974,2023,total,14.7,21055,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA13 North Savo wellbeing services county,26256,HVA13,North Savo wellbeing services county
683,962,2023,total,12.9,5591,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA20 Kainuu wellbeing services county,26069,HVA20,Kainuu wellbeing services county
683,956,2023,total,6.8,1191,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2023,HVA91 Åland,32069,HVA91,Åland
683,971,2023,total,10.3,9750,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA17 Ostrobothnia wellbeing services county,27811,HVA17,Ostrobothnia wellbeing services county
683,968,2023,total,13.1,13430,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA21 Lapland wellbeing services county,27070,HVA21,Lapland wellbeing services county
683,976,2023,total,12.2,15491,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA06 Satakunta wellbeing services county,26734,HVA06,Satakunta wellbeing services county
683,963,2023,total,13.1,13298,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA07 Kanta-Häme wellbeing services county,27840,HVA07,Kanta-Häme wellbeing services county
683,970,2023,total,12.5,35582,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA08 Pirkanmaa wellbeing services county,27263,HVA08,Pirkanmaa wellbeing services county
683,957,2023,total,11.7,8962,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2023,HVA11 South Karelia wellbeing services county,26201,HVA11,South Karelia wellbeing services county
